dataset,level,algorithm,number,mal_pre,mal_recall,mal_f1,good_pre,good_recall,good_f1
rmv,api,RF,1,0.9792,0.8630,0.9174,0.8775,0.9817,0.9267
rmv,api,SVM,1,0.9595,0.9859,0.9725,0.9855,0.9584,0.9718
rmv,api,DT,2,0.9400,0.9009,0.9200,0.9049,0.9425,0.9233
rmv,api,RF,2,0.9754,0.8716,0.9205,0.8839,0.9780,0.9286
rmv,api,SVM,2,0.9606,0.9853,0.9728,0.9849,0.9596,0.9721
rmv,api,DT,3,0.9539,0.9242,0.9388,0.9265,0.9554,0.9407
rmv,api,RF,3,0.9751,0.8869,0.9289,0.8962,0.9774,0.9350
rmv,api,SVM,3,0.9618,0.9847,0.9731,0.9843,0.9609,0.9725
rmv,api,DT,4,0.9406,0.9101,0.9251,0.9129,0.9425,0.9275
rmv,api,RF,4,0.9726,0.9119,0.9413,0.9171,0.9743,0.9448
rmv,api,SVM,4,0.9631,0.9884,0.9756,0.9881,0.9621,0.9749
rmv,api,DT,5,0.9320,0.9223,0.9271,0.9231,0.9327,0.9279
rmv,api,RF,5,0.9804,0.8856,0.9306,0.8957,0.9823,0.9370
rmv,api,SVM,5,0.9629,0.9853,0.9740,0.9850,0.9621,0.9734
rmv,api,DT,6,0.9450,0.9144,0.9294,0.9171,0.9468,0.9317
rmv,api,RF,6,0.9646,0.8673,0.9134,0.8794,0.9682,0.9217
rmv,api,SVM,6,0.9623,0.9835,0.9728,0.9831,0.9615,0.9722
rmv,api,DT,70y,0.9472,0.9651,0.9561,0.9645,0.9462,0.9552
rmv,api,RF,70y,0.9683,0.9144,0.9405,0.9189,0.9700,0.9438
rmv,api,SVM,70y,0.9585,0.9884,0.9732,0.9880,0.9572,0.9724
rmv,api,DT,7,0.9466,0.8997,0.9225,0.9044,0.9492,0.9263
rmv,api,RF,7,0.9754,0.8960,0.9340,0.9038,0.9774,0.9392
rmv,api,SVM,7,0.9618,0.9853,0.9734,0.9850,0.9609,0.9728
rmv,api,DT,8,0.9486,0.9144,0.9312,0.9174,0.9505,0.9336
rmv,api,RF,8,0.9751,0.8624,0.9153,0.8766,0.9780,0.9245
rmv,api,SVM,8,0.9624,0.9872,0.9746,0.9868,0.9615,0.9740
rmv,api,DT,9,0.9451,0.9266,0.9358,0.9280,0.9462,0.9370
rmv,api,RF,9,0.9779,0.8948,0.9345,0.9030,0.9798,0.9399
rmv,api,SVM,9,0.9612,0.9847,0.9728,0.9843,0.9602,0.9721
rmv,dex,DT,0,0.9549,0.9693,0.9620,0.9688,0.9543,0.9615
rmv,dex,RF,0,0.9766,0.9231,0.9491,0.9271,0.9779,0.9518
rmv,dex,SVM,0,0.9695,0.9895,0.9794,0.9893,0.9689,0.9790
rmv,dex,DT,1,0.9563,0.9674,0.9618,0.9670,0.9558,0.9613
rmv,dex,RF,1,0.9736,0.9276,0.9501,0.9309,0.9749,0.9524
rmv,dex,SVM,1,0.9681,0.9899,0.9789,0.9896,0.9674,0.9784
rmv,dex,DT,2,0.9505,0.9655,0.9580,0.9650,0.9498,0.9573
rmv,dex,RF,2,0.9766,0.9396,0.9578,0.9418,0.9775,0.9593
rmv,dex,SVM,2,0.9688,0.9899,0.9792,0.9897,0.9681,0.9788
rmv,dex,DT,3,0.9535,0.9685,0.9609,0.9680,0.9528,0.9603
rmv,dex,RF,3,0.9761,0.8733,0.9218,0.8853,0.9786,0.9297
rmv,dex,SVM,3,0.9688,0.9895,0.9790,0.9893,0.9681,0.9786
rmv,dex,DT,4,0.9591,0.9674,0.9632,0.9671,0.9588,0.9629
rmv,dex,RF,4,0.9747,0.9381,0.9561,0.9404,0.9756,0.9577
rmv,dex,SVM,4,0.9681,0.9899,0.9789,0.9896,0.9674,0.9784
rmv,dex,DT,5,0.9528,0.9678,0.9602,0.9672,0.9520,0.9596
rmv,dex,RF,5,0.9733,0.8890,0.9293,0.8979,0.9756,0.9351
rmv,dex,SVM,5,0.9692,0.9903,0.9796,0.9900,0.9685,0.9792
rmv,dex,DT,6,0.9543,0.9715,0.9628,0.9710,0.9535,0.9622
rmv,dex,RF,6,0.9752,0.9445,0.9596,0.9462,0.9760,0.9609
rmv,dex,SVM,6,0.9681,0.9895,0.9787,0.9893,0.9674,0.9782
rmv,dex,DT,70y,0.9550,0.9629,0.9589,0.9626,0.9546,0.9586
rmv,dex,RF,70y,0.9717,0.9408,0.9560,0.9426,0.9726,0.9574
rmv,dex,SVM,70y,0.9685,0.9899,0.9790,0.9896,0.9678,0.9786
rmv,dex,DT,7,0.9513,0.9666,0.9589,0.9661,0.9505,0.9582
rmv,dex,RF,7,0.9770,0.9404,0.9583,0.9425,0.9779,0.9599
rmv,dex,SVM,7,0.9681,0.9895,0.9787,0.9893,0.9674,0.9782
rmv,dex,DT,8,0.9541,0.9584,0.9562,0.9582,0.9539,0.9560
rmv,dex,RF,8,0.9767,0.9265,0.9509,0.9301,0.9779,0.9534
rmv,dex,SVM,8,0.9685,0.9899,0.9790,0.9896,0.9678,0.9786
rmv,dex,DT,9,0.9501,0.9704,0.9601,0.9697,0.9490,0.9593
rmv,dex,RF,9,0.9738,0.9355,0.9543,0.9380,0.9749,0.9561
rmv,dex,SVM,9,0.9684,0.9895,0.9789,0.9893,0.9678,0.9784
rmv,opcode,DT,0,0.9627,0.9559,0.9593,0.9562,0.9630,0.9596
rmv,opcode,RF,0,0.9770,0.8791,0.9255,0.8901,0.9793,0.9326
rmv,opcode,SVM,0,0.9608,0.9875,0.9739,0.9871,0.9597,0.9732
rmv,opcode,DT,1,0.9433,0.9063,0.9244,0.9099,0.9455,0.9274
rmv,opcode,RF,1,0.9793,0.9020,0.9390,0.9091,0.9809,0.9437
rmv,opcode,SVM,1,0.9521,0.9853,0.9684,0.9848,0.9504,0.9673
rmv,opcode,DT,2,0.9435,0.9553,0.9494,0.9548,0.9428,0.9488
rmv,opcode,RF,2,0.9750,0.8693,0.9191,0.8821,0.9777,0.9274
rmv,opcode,SVM,2,0.9558,0.9897,0.9724,0.9893,0.9542,0.9714
rmv,opcode,DT,3,0.9542,0.9188,0.9362,0.9217,0.9559,0.9385
rmv,opcode,RF,3,0.9670,0.8775,0.9200,0.8878,0.9700,0.9271
rmv,opcode,SVM,3,0.9572,0.9869,0.9718,0.9865,0.9559,0.9710
rmv,opcode,DT,4,0.9514,0.8954,0.9226,0.9012,0.9542,0.9270
rmv,opcode,RF,4,0.9774,0.8497,0.9091,0.8671,0.9804,0.9202
rmv,opcode,SVM,4,0.9594,0.9907,0.9748,0.9904,0.9581,0.9740
rmv,opcode,DT,5,0.9391,0.8905,0.9142,0.8959,0.9423,0.9185
rmv,opcode,RF,5,0.9773,0.9129,0.9440,0.9182,0.9788,0.9475
rmv,opcode,SVM,5,0.9573,0.9902,0.9735,0.9898,0.9559,0.9726
